oceans,regions,sub_regions,sampling_method,measurement,unit,density_range,density_class,date,season,year,density_marker_size,city_st,pop,pop_rescaled,geometry,lon,lat
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-19,Winter,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9057, 32.8022)",-79.9057,32.8022
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-08,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9056, 32.802)",-79.9056,32.802
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-09-10,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.932, 32.8024)",-79.932,32.8024
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-10-02,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9354, 32.8029)",-79.9354,32.8029
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-24,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.8572, 32.7572)",-79.8572,32.7572
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2019-12-06,Winter,2019,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9042, 32.7508)",-79.9042,32.75079999999999
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-08-28,Summer,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.906, 32.8018)",-79.906,32.8018
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-02-14,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9046, 32.7509)",-79.9046,32.7509
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-07-21,Summer,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.8553, 32.755)",-79.8553,32.755
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2021-12-07,Winter,2021,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9709, 32.8912)",-79.9709,32.8912
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-09-11,Fall,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9253, 32.776)",-79.9253,32.77600000000001
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,2-40,Medium,2020-01-01,Winter,2020,6.5,"Charleston, SC",120083,1.43871661402552,"c(-79.9509, 32.7508)",-79.9509,32.7508
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2020-02-04,Winter,2020,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9252, 32.7759)",-79.9252,32.7759
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2019-10-02,Fall,2019,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9253, 32.7761)",-79.9253,32.7761
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,40-200,High,2021-11-08,Fall,2021,8.25,"Charleston, SC",120083,1.43871661402552,"c(-79.9716, 32.8921)",-79.9716,32.892100000000006
Atlantic Ocean,NA,NA,Hand picking,NA,pieces/10 mins,1-2,Low,2021-11-30,Fall,2021,4.75,"Charleston, SC",120083,1.43871661402552,"c(-79.9711, 32.8914)",-79.9711,32.8914
